; Amazonas;Ancash;Apurimac; Arequipa;Ayacucho;Cajamarca; Callao;Cusco;Huancavelica;Huánuco; Ica; Junín; La Libertad; Lambayeque;Lima; Loreto; Madre de Dios; Moquegua; Pasco;Piura; Puno;San Martín; Tacna ; Tumbes; Ucayali; No registrado; Total
Ene-05;0.17747598;188.6711653;0.0046213;27.92751664;0.23633488;83.76016196;94.45961871;28.97917014;0;0.08961528;69.48929727;52.62868008;35.69619116;13.31461987;327.8988231;4.68426189;0.43190006;170.0050515;11.43615445;63.69917361;4.43784698;3.94542865;72.2144352;3.96391074;1.20100574;1;1260.35246
Feb-05;0.14609613;151.5668057;0;31.44148091;0.09542591;134.9715528;74.01205849;7.42876401;0.03528298;0.27758624;54.80528985;60.48788474;19.47024551;7.41558461;342.7912999;5.86212993;0.89065971;100.3969087;18.01980403;68.87047154;5.71325029;0.85441985;39.72895264;5.76003123;1.66693419;1.00019546;1133.709115
Mar-05;0.11884646;198.2916659;4.50036544;56.98445005;0.40723288;121.1802657;89.04394455;45.41003553;0.71745338;1.75166142;77.7718781;55.9758463;25.13556579;11.92601967;357.7328835;2.91966116;0.83693271;108.5127556;53.52801535;61.39738478;7.04592495;0.23765933;53.41822191;5.26865043;1.90673924;1;1343.02006
Abr-05;0.03829481;157.4776697;3.44882461;55.70698951;0.46353283;94.22573763;99.36981455;29.69912927;0.19681017;1.67901856;94.82684663;56.62911193;21.2015463;7.89074977;319.0488827;6.97668818;0.69469128;171.1663463;32.42971456;54.70853942;6.01351488;2.84387477;27.26353596;5.79736912;2.21709167;1;1253.014325
May-05;0.12459199;187.6913579;3.62304797;56.27676679;0.30110007;107.2318918;121.3199828;29.47844494;0.10205359;1.61485118;103.6746757;64.58658223;22.08969805;11.80042318;364.0642953;6.5604575;0.2996266;123.1254513;15.80426919;75.57468719;6.12706453;3.31858552;34.31132672;6.97126824;2.8583447;1.069;1349.999845
Jun-05;0.12578528;230.7692779;0;41.36397272;0.1706484;118.6308213;113.0425493;15.28153238;0;7.71280922;124.181553;62.79415419;39.72281697;10.96438005;412.8556138;8.57861383;0.20064312;99.31650316;40.91258096;41.08895086;6.73985286;4.31465752;26.94046667;7.93274265;2.63370512;1;1417.274631
Jul-05;0.25100082;241.3457327;3.3809657;59.48591541;0.61665699;99.3071738;117.3721032;12.29241857;0.0021361;0.28162892;136.8876509;70.99617387;62.79124251;13.57312566;396.9810245;7.46858002;0.16012453;155.791736;22.36964103;68.28428196;5.15504298;4.08271977;66.22988882;5.24063711;2.38204206;1;1553.729644
Ago-05;0.26326217;209.1408892;2.83877949;50.61869328;0.48255581;116.3662482;124.4094243;34.10513301;0.00785351;4.60389732;100.336144;59.81482674;60.62639874;11.88818593;401.9268569;8.3452168;0.56712159;120.3507641;37.50870985;91.28162094;9.71202372;2.55468944;32.14412915;4.06035388;2.66248009;1;1487.616258
Set-05;0.35541937;215.3668996;3.51315216;47.84766674;0.30197364;133.8558813;95.09496446;44.30976991;0.00889468;1.1701228;126.0713945;68.77926784;66.3361629;17.68370958;361.3852548;5.06247215;0.1975889;153.0317677;22.08311662;72.79510575;8.80127409;5.82336988;42.92119064;4.2083443;2.06852612;1;1500.07329
Oct-05;0.27305931;187.931252;3.32232331;22.22956604;0.28704061;148.1915124;132.7414236;17.60535502;0.0009904;0.70207981;107.613033;72.58488547;56.49807602;16.44629233;388.5190849;4.31551737;0.17372643;125.4326167;23.60453986;39.01773943;11.23022946;3.44307748;91.7344382;5.47240672;3.12879321;1;1463.499059
Nov-05;2.60653373;222.8196847;0.012768;82.4312958;0.41745124;183.1286707;76.66929122;38.51251057;0.053639;5.75406322;105.3158812;73.78285538;76.69555294;14.01313918;388.1930408;5.33415893;0;104.9742386;29.88031719;79.34262342;8.52301169;4.53411489;28.3412294;6.6437419;1.89924039;1;1540.879054
Dic-05;0.38692883;315.1132564;7.32549133;51.70441023;0.05112176;200.2770474;153.2927555;52.28597312;0;6.4705918;90.07865102;86.48332007;111.4577252;17.11946891;425.204678;7.70930763;0.11489437;248.5555506;56.2192047;78.74571189;9.7684672;6.13286589;76.3012045;3.97762155;2.97941486;1;2008.755663
Ene-06;0.26310886;197.8705736;0;38.87425101;0.42539136;120.8870578;89.40791989;31.88599087;2.05792008;0.14508264;114.4249865;80.10132417;87.24177915;8.58153466;404.457502;2.26512376;0.12095929;91.67822901;32.02989609;84.18518005;8.02316593;4.90444021;22.35428023;5.56755732;1.98205324;1;1430.735308
Feb-06;0.21284308;231.5226259;0.01038082;42.91851444;0.03740244;150.5504944;86.27119383;24.98176404;3.95735649;2.46786326;115.9671833;82.81136764;60.94071661;7.91672863;344.6654532;4.62445586;0.67236455;102.5048744;40.78098441;74.18955851;8.91706481;0.8595197;53.04609464;4.70774541;1.79587915;1;1448.33043
Mar-06;0.0000075;272.4583677;21.11138342;29.36735634;0.44621845;164.0549035;112.7278496;29.0703077;0.69105566;0.025125;104.4067108;101.1755802;69.20795924;6.6643645;392.7676808;7.04954084;3.17915943;192.127271;32.58770187;126.1753367;8.21753564;0.65458699;63.86602994;5.77010996;2.20360715;1;1747.00575
Abr-06;0.0765546;269.7988839;0.06748177;107.9979691;4.75776806;152.8582537;114.0336312;33.11211871;1.31820043;7.47083709;99.23923229;106.9391393;62.68244729;7.10219469;442.9974509;4.55425453;1.76786663;189.1923233;64.33650102;109.1344103;10.32885478;1.50841443;20.15184121;5.5380954;4.29846498;1;1822.26319
May-06;0.13065361;251.4735915;20.42592901;61.21836918;0.4187429;195.6835174;131.3452908;68.15175255;2.85578532;0.391288;105.2478446;106.834683;54.66278887;14.51037701;476.4786528;14.17767158;0.23277783;249.8599957;43.15219544;73.61515439;10.12182497;1.84953215;52.52117936;6.4096109;3.3471118;1;1946.116321
Jun-06;0.29036697;319.7345525;0.04634185;82.49746854;1.02501273;161.882727;127.847193;51.15704576;1.22691467;4.81351585;115.6887293;101.3530488;84.06967248;14.75577765;500.3428541;3.10705676;0.30618861;198.1462854;80.65087409;132.7732663;8.22363648;5.67364555;40.59831069;4.324172;2.37922627;1;2043.913883
Jul-06;0.53958846;389.8945072;20.21498303;77.06899463;0.75875861;129.0162404;166.3692622;81.54268426;2.57902476;3.05673088;165.1638372;123.5795912;122.7827147;19.99122496;542.1211607;10.17884172;1.04965883;250.2734087;69.69778468;131.0477231;11.88731401;4.36113896;32.63982286;4.54204714;3.18857564;1.0005;2364.546119
Ago-06;0.60863312;411.0644693;0;22.06972473;3.05357965;110.6287124;119.1065273;49.30219234;4.72478876;6.19126029;125.6059775;118.3243488;102.4438736;19.28761915;527.2853924;9.60740502;0.74715623;161.4375533;76.99712532;93.85637671;12.02848125;9.14994256;25.58457212;4.83013647;4.40307192;1.0022776;2019.341198
Set-06;0.58635384;279.9501627;0;141.4188386;3.20169097;146.7646459;120.8264343;73.64619513;0.69752707;3.83562288;113.7541359;99.26650274;120.7024841;23.925463;456.3714244;3.53649479;0.63461616;319.7305483;68.93889194;102.2467783;9.94735083;12.47871895;55.79090302;4.32315;3.12359861;1;2166.698532
Oct-06;0.85520271;311.1420244;23.93728782;88.99311783;0.15129413;104.7825017;117.281059;51.07822253;7.70790631;6.22181376;155.0994017;154.6865038;77.73825468;25.93941374;573.1367852;6.43712792;0.68552551;155.7294492;66.82153551;85.54350463;15.59459852;6.68152589;19.30320845;4.83627146;3.93529883;1.022;2065.340835
Nov-06;0.55287018;346.4032886;0;70.4171998;0.27797295;115.3672335;122.6462632;49.34159547;8.69855339;6.60678103;136.9458944;109.3879832;123.3034066;25.81939235;592.134697;11.3943867;0.91604061;252.5077186;72.13460917;54.01844575;12.24973474;7.44816141;58.09972091;4.6515117;3.34286933;1;2185.666331
Dic-06;0.80297878;397.0532869;20.03656296;71.8056355;3.18728443;110.4740419;189.6625772;88.09067871;3.34731805;10.44394403;159.1376285;115.6450882;114.386282;22.17672901;612.9978532;5.30535376;0.40288942;261.0546453;182.2969859;138.827821;12.52265327;8.389718;35.0782405;4.51576645;3.27915247;1;2571.921116
Ene-07;0.39282937;194.5981986;0;89.47248787;4.32010119;77.61029758;94.64220812;21.08128148;6.08420734;0.11236175;158.1501912;119.2324647;97.85136376;13.42490941;503.9876336;4.1520372;0.46978517;116.2382061;31.5198983;135.7935687;11.36516291;4.12921807;55.29407091;3.92047782;2.36314117;1.00525;1747.211352
Feb-07;0;296.8539426;0.0182121;109.0202752;7.53035186;83.99225691;142.4060788;19.40837771;1.55452395;0.33256;103.2701794;107.2925517;98.35980296;8.55629169;504.1287108;7.098636;0.10386955;117.6856086;72.62114102;125.675527;12.93539942;10.35522018;69.32653027;4.24106856;3.04664982;1.8;1907.613766
Mar-07;0.01946;335.4618263;0.29445;160.8356522;0.1458;124.1576892;122.0895725;20.51165812;8.33728511;5.87495863;114.9715046;126.4779272;126.582801;7.49521641;521.1792961;4.16680794;1.5105402;100.4295034;66.21076013;96.25253126;9.39139608;3.55863353;101.3150892;5.49994624;2.90783615;34.1184871;2099.796628
Abr-07;0.05668547;279.7061559;0;142.225113;4.20648478;61.7068094;148.6965344;51.61243039;1.1967383;0.24223205;122.834011;128.6703672;94.77514753;5.74276323;577.695348;4.48150452;0.17654902;224.8913696;96.90489735;96.6112553;11.65002757;1.10455785;56.42730571;4.79697823;2.87102204;1.00095777;2120.283246
May-07;0.33301244;352.9032231;0;111.9501313;3.78239779;74.21931387;157.1061248;64.77134271;13.77854094;3.95026439;141.9540829;133.1535298;138.8738019;10.30867935;508.4823129;9.38720386;0.44178604;182.9412136;67.88660903;101.4054821;18.02219215;3.74257542;37.44372982;5.13973471;2.10385003;1;2145.081135
Jun-07;0;301.3383772;0.001865;234.0806287;0.58462672;77.80202555;158.6912442;67.6405442;10.8022015;6.64956334;138.0876473;130.2017568;101.2554435;10.22942959;638.6456683;12.06869406;0.54541745;284.5821051;106.3746321;112.030828;10.03067927;3.65447309;42.76356478;3.99481815;2.73742261;1;2455.793656
Jul-07;0.23970195;417.8173758;0.0126;224.2781044;1.49368064;59.21092406;200.3883893;52.1745882;5.72099113;3.33367756;205.7480333;173.4217817;79.05829841;18.94747953;769.5111364;7.59620549;0.7932721;195.399174;65.24488292;134.0242629;13.25536388;27.89659638;48.26447949;5.20941045;2.98231042;1.00359866;2713.026319
Ago-07;1.15308301;437.0493416;0;162.9816006;6.37828717;97.9984492;158.5922469;56.48395815;12.32572564;7.72592556;127.0659715;128.0233776;113.2294315;28.60872969;560.0283587;6.56608755;0.92855748;155.2521076;63.74087778;126.4003545;10.78966751;11.02521124;94.83191159;3.47214787;2.67296645;1.001436;2374.325812
Set-07;0.63385046;301.569697;0;241.6737543;7.39214505;109.979683;143.468701;11.81562626;3.24357888;1.7955525;138.9461618;133.7820576;141.2288661;25.65691426;640.7316454;6.22739804;0.95651331;285.6472561;79.86289669;143.4678485;13.24093063;9.96130471;105.4486183;3.85657003;2.44760498;1.0007785;2554.035953
Oct-07;0.44495738;412.7842758;0.01716488;143.6537764;2.42650592;80.78224793;183.9539191;111.7152859;12.53755301;5.81995405;188.9899419;153.3590497;111.0824386;20.62296468;777.31746;9.00942442;0.71102883;164.0451848;72.37572502;139.0875581;14.41157541;7.99056487;47.27357496;3.67142447;2.83993542;1;2667.923492
Nov-07;1.20176221;296.1686503;4.75530942;245.3535431;6.00916309;148.3630757;173.5529611;43.77179075;12.42995651;1.31466581;155.9925941;88.72358616;97.21445897;19.19757037;567.8095557;5.57843802;0.52289973;276.1721784;22.28388402;104.8942306;9.30039465;9.14899185;60.60523593;4.61092011;1.88144198;1;2357.857258
Dic-07;7.61571129;381.4549818;2.99641508;189.3090993;3.13136542;176.0647016;208.7193251;26.03361432;22.02236224;4.82944994;206.2325565;156.9970139;176.9763132;29.34826203;803.1425449;13.19974401;0.80160903;229.5361575;58.85684341;173.9823256;12.14176465;4.36557859;54.01380384;7.00156698;3.86500641;1;2953.638117
Ene-08;0.36910311;307.9379132;0;146.819411;11.53223114;102.7293768;240.5974182;75.04716331;9.01214366;0.71885426;203.8414772;128.4450143;130.6826333;12.36676437;697.6184475;9.62238308;0.64686815;174.0416782;35.97930183;165.262249;13.88206863;1.87413093;69.41128807;6.92523041;4.90357771;1;2551.266727
Feb-08;0.25675187;245.3283413;4.88398578;198.1623049;5.74099131;216.0542453;200.3361468;43.54908568;2.5267674;6.67688118;146.1320109;112.1631773;150.6871279;12.25613326;598.7380643;5.45627315;0.71031099;226.4458775;59.97108197;159.330193;14.44494704;1.28731339;63.17843484;3.81925349;3.52657406;1;2482.662275
Mar-08;0.0437628;381.4594627;3.7012095;264.4411092;2.52464828;166.8734873;180.1828659;48.87334845;14.05886764;0.54222379;164.1891896;150.0804418;161.0283174;8.61996377;675.2333534;5.78044336;0.70201156;244.2150239;55.43248798;182.2170628;13.20804758;1.39373998;30.59369348;7.65828444;5.160504;1;2769.213551
Abr-08;0.04936146;458.4131977;3.94769796;176.9601581;5.69295348;81.47612805;165.844022;47.85775999;28.16583164;2.98450871;175.0098726;112.6174392;128.3786112;7.28479912;728.4287066;15.24265584;0.49088957;236.6204464;57.56231815;160.5188184;28.79062795;0.92084643;57.57202001;6.64464898;3.61384833;1;2692.088168
May-08;0.13859248;500.1417219;0.0690629;252.5321345;3.1269855;175.455759;219.0419249;44.74558924;1.88409795;4.02523099;167.0319503;129.825985;141.031338;10.81100831;755.7434244;8.37956922;0.57909885;238.8608068;22.54434436;122.8760666;13.82773012;4.34760131;49.29178984;6.0083238;5.69159222;1;2879.011728
Jun-08;0.16004349;416.4321982;8.39238523;194.4286848;2.18612979;169.8770191;271.2911232;27.19880018;0.62876391;1.45388476;213.1926325;121.1143376;136.1540768;17.20710205;742.0370277;6.03209482;0.61748297;184.7582546;32.40229852;192.3861826;16.96960995;3.53340378;38.81003181;10.20761078;3.86585208;1;2812.337031
Jul-08;0.26300466;462.6091744;11.34585224;221.1405954;14.40815512;154.3320392;260.8595268;20.76837976;36.21685317;6.64359643;185.8567731;155.4083634;130.9005129;25.26560726;795.0660228;8.26823049;0.81383159;211.1355972;53.3639822;168.5978281;17.00965732;3.87453566;54.02585731;10.32661152;3.40115587;1.00352146;3012.905265
Ago-08;1.51221452;330.8671706;3.17455485;266.2451676;3.75301989;138.6602498;256.4738534;31.91327754;3.93135959;4.20226778;235.1977002;141.7489786;180.7352478;34.20326215;730.8998357;10.87145762;1.09291112;171.3444201;36.57416616;198.6046402;12.90375533;8.10680234;60.0439457;7.57392815;3.87183967;1;2875.506026
Set-08;1.76196543;275.162032;5.54769703;255.4453854;12.13637776;157.4355893;186.7019157;88.96496051;13.83918789;5.93860173;189.7569078;139.2095337;188.5557383;22.53575023;715.4936234;5.59187964;1.84099931;113.5667549;66.10923792;105.2493999;20.03311157;6.36762786;26.80839894;7.29599577;4.43399916;1;2616.782671
Oct-08;1.49837856;236.2711301;0;159.7730586;5.51565787;130.3754717;139.6617072;21.27425335;3.09051161;3.44125946;204.4857117;102.720758;175.5449047;28.85365719;692.7952213;5.00623411;2.68495286;129.7314868;49.40055974;131.2419487;19.75630562;12.7869076;27.00621196;4.91836108;6.40254159;1;2295.237191
Nov-08;1.47402489;172.4745253;5.4520599;157.5160355;3.53758437;81.26575621;145.9602925;43.6185499;6.98087274;4.09654304;190.7342472;84.769908;169.2615785;21.1203451;672.7538921;3.47356855;2.83875159;127.0737682;38.51716853;79.7920484;19.16705596;10.75997788;13.87314513;7.3102761;2.89199692;1;2067.713973
Dic-08;0.42152853;188.3851996;12.93018962;142.4480184;1.00888751;115.6975423;106.0561539;26.22190701;2.75690273;6.98145541;173.4868612;95.11632337;162.6523829;14.72473892;638.8728306;7.62488479;3.51092901;105.781282;34.74177359;74.9833493;16.82692123;5.71943436;16.86028042;6.50156521;3.58085825;1.04620749;1964.938408
Ene-09;0.51139928;168.4733215;0.0639375;81.67119613;1.08189298;126.6207957;96.34266385;22.02206249;0.68704547;1.30341918;180.6754801;74.48418098;125.8392876;9.74300699;492.5994032;2.70972134;2.38644356;83.35273151;17.87345698;82.25106808;24.36187613;5.16648433;17.04272718;9.66749664;2.79270119;1.001295;1630.725095
Feb-09;0.33617325;175.8586649;6.18805583;146.1669816;3.80160793;124.8654222;145.2823815;15.84244655;7.16760439;4.74728538;157.1982599;65.75542013;139.0671912;11.34934706;524.0412073;3.4557872;2.19986496;108.4995462;31.08471788;71.98959895;35.32585589;1.73104939;14.86594367;14.35537692;2.95015126;1;1815.125942
Mar-09;0.05731023;211.052406;0;127.604643;3.63763271;186.3903913;132.1730516;34.83295007;3.70671751;0.99299945;166.4714595;83.13849148;143.9082369;10.39420152;552.1969064;2.28101046;2.46951098;104.878163;34.51169737;112.2701982;19.83628808;3.54530804;6.76737701;15.82268765;2.98239495;1.0839488;1963.005982
Abr-09;0.00005346;154.1064932;3.7714612;145.9728585;1.07081687;175.2842965;119.7630565;15.63923392;8.15973545;0.93530022;148.9362434;32.92580075;131.1732124;8.05365965;526.4746124;2.40251716;2.4417704;130.888209;44.5503686;84.14523223;24.30695141;2.59062633;11.51123716;11.44297072;2.47986032;1;1790.026578
May-09;0.07312595;218.2391245;7.16574217;167.3902052;7.46887639;180.477771;180.7979683;13.79095652;3.39600833;1.05395959;209.3098219;57.93628997;155.9125997;11.87657425;581.4459146;4.53210257;2.39266175;160.528844;73.19230323;60.78940878;28.34863848;3.08422732;13.33063223;9.88178481;1.96312412;1;2155.378666
Jun-09;0.54063633;274.604239;0.000648;175.5436556;2.80571847;163.7756938;174.489797;11.0148269;5.67186286;6.98982328;178.3071023;52.43268579;190.5751276;12.0748259;617.4357399;2.42252953;2.70927654;118.8165471;61.37251982;76.77881935;23.37086137;9.27644369;14.20221806;14.31186257;2.64733805;1;2193.170799
Jul-09;1.491537;262.8171521;49.63237594;190.2898751;2.68258702;168.8872594;182.5152013;12.73679632;2.74487778;0.82282326;200.7583812;17.0529516;222.9630884;21.62802567;585.7852024;4.42338648;3.32945103;164.9945578;67.05709879;120.6382402;29.00329445;10.54246927;9.46772989;9.91084381;3.54446497;1.000864;2346.720535
Ago-09;1.83617307;257.0006844;7.16195548;212.4599076;3.45648178;211.8568369;186.8238654;11.88961093;5.48393779;1.70958096;212.2570706;32.26649707;196.4614438;19.10899118;571.2121125;2.35203004;3.52102919;157.6562623;56.55659874;120.2478248;25.13961168;8.88479552;14.86055909;9.02440565;3.50364349;1;2333.73191
Set-09;2.04469476;267.6679091;24.91783992;257.2025963;2.23105439;231.6152293;171.7157601;11.43085278;8.32243827;3.5891933;215.7682938;35.73729309;181.5008362;30.18204092;621.4941309;3.68134893;4.2067909;195.548774;77.4338688;101.4678527;32.3388731;11.85187742;18.48104146;6.18762323;4.57377481;1;2522.191989
Oct-09;0.99779666;255.3018948;7.66826565;254.7221246;12.63898151;220.3294673;184.6394027;10.13862564;32.12981526;0.5765583;200.0632477;61.08802019;192.1276015;25.10086219;596.9371259;2.61548017;4.58230032;262.9683614;73.741976;99.60287501;37.33010814;14.80712572;17.49841318;6.1020581;4.55977804;1;2579.268266
Nov-09;1.01716911;259.9513804;0.31529438;328.0355973;5.4847501;266.5745318;171.1204396;11.34432537;10.3885837;3.32798701;260.4139659;63.50782018;175.130032;28.54711861;586.5194908;4.06956345;4.72393584;198.4547212;142.4153069;125.0292184;30.88602152;13.55045149;15.91741974;6.04866585;5.22993406;1.34731418;2719.351039
Dic-09;1.50998507;411.6400637;10.54631325;306.2067583;7.33358007;243.200175;238.6236169;22.89418503;34.59888003;0.73564357;301.6166785;47.71399862;197.6848636;28.30166497;635.162255;6.59941396;3.85032873;210.7915008;79.80271605;172.1825166;36.39622202;8.34492141;13.8967565;7.24134649;4.2285688;1;3032.102953
Ene-10;0.2881248;248.5074768;8.41946495;250.7554024;7.70079198;165.2439458;183.0806016;11.60155351;13.68036895;1.31137067;262.2158126;31.165817;207.7927546;16.07050446;500.5104121;2.44143828;2.74131682;238.272099;85.79780989;136.0008181;28.75419237;2.64196467;23.13713604;7.47434606;2.83353429;1;2439.439058
Feb-10;0.29303688;282.3537913;10.37505657;256.3738494;2.90786444;222.9921648;210.4745299;14.05706629;0.79981702;1.14874155;323.5009465;38.60400404;207.9002082;17.11906233;549.7296089;5.68431974;3.29847739;197.7425719;53.09674052;181.0435575;34.12344419;3.93690434;22.15179581;5.55017279;3.67609077;1.0065;2649.940323
Mar-10;0.07252795;303.380478;0.00626;316.8082807;10.59039437;198.9897076;228.7129123;13.73237411;10.54447484;9.54507547;284.6947384;27.96554327;199.5802764;13.28567793;633.9023256;2.23052063;3.70900762;252.3408267;90.11217256;138.369946;30.64259454;2.04010774;31.67588998;9.48320824;4.46740213;1;2817.882723
Abr-10;0.13520349;311.613574;14.19776286;287.3709878;4.06696182;169.9454297;161.8571923;12.06739338;4.87823551;2.66144741;322.5548411;26.85448166;171.9772694;12.48898709;618.6222315;3.04239748;4.15498492;227.9303083;86.8379765;140.4311944;38.69874174;1.69190063;33.00791861;7.59354602;5.85855626;1;2671.539524
May-10;0;238.1516689;6.40450883;192.2433099;4.54198006;173.6865689;203.2615854;15.60145618;2.43439418;0.63012482;238.9749874;16.15058132;165.679435;17.30992123;562.7463817;6.70103585;2.98229345;254.3234766;85.07096758;115.134367;35.01583536;8.09920638;33.83755002;8.46734776;3.32413103;1;2391.773115
Jun-10;0.40721941;303.3043265;10.24853932;300.3930539;14.98667554;238.3518997;318.1043907;16.46351903;9.86910589;3.3350953;333.4119876;44.70308645;253.9057113;28.9877968;757.851184;2.93643599;4.30632364;168.5451474;92.60249763;154.7696737;37.92512193;10.93874045;30.52918274;11.6637117;4.82342206;1;3154.363849
Jul-10;2.0580154;456.8105842;12.45764504;285.1177272;8.23091248;200.7805358;259.8873507;21.54942561;10.78852007;2.37030488;322.9512463;35.11958811;181.0400317;32.15033417;719.2949475;6.44269669;4.17834691;209.5415765;44.66208386;106.530686;40.95931454;12.79617634;48.75828615;6.48638423;4.18538965;1;3036.14811
Ago-10;2.02218203;279.7695273;8.33184635;301.2747455;10.83998554;166.5623255;288.8251295;41.2186999;3.53901208;3.33991916;305.618664;50.57082237;159.1080347;35.78112554;786.7301734;2.14160408;3.84562662;237.12849;82.62550684;159.1467484;39.21653795;12.41023951;47.30679824;5.06795579;2.4598212;1;3035.881521
Set-10;2.73162212;457.3455215;3.12549143;324.1970953;10.17687103;264.1437813;293.2874269;41.53017564;0.97363943;1.78540455;390.1699535;31.58321028;201.2730226;32.46057464;778.1102469;3.84032018;4.38685421;145.0664479;72.52366866;115.4553275;56.01332522;9.27736355;61.11964931;6.96865872;3.14361928;1;3311.689272
